Country_name,Country_code
the Islamic Republic of Afghanistan[b],004
the Republic of Albania,008
Antarctica[c],010
the People's Democratic Republic of Algeria,012
American Samoa[c],016
the Principality of Andorra,020
the Republic of Angola,024
Antigua and Barbuda[c],028
the Republic of Azerbaijan,031
the Argentine Republic,032
the Commonwealth of Australia[c],036
the Republic of Austria,040
the Commonwealth of The Bahamas,044
the Kingdom of Bahrain,048
the People's Republic of Bangladesh,050
the Republic of Armenia,051
Barbados[c],052
the Kingdom of Belgium,056
Bermuda[c],060
the Kingdom of Bhutan,064
the Plurinational State of Bolivia,068
Bosnia and Herzegovina[c],070
the Republic of Botswana,072
Bouvet Island[c],074
the Federative Republic of Brazil,076
Belize[c],084
the British Indian Ocean Territory[c],086
the Solomon Islands[c],090
the Virgin Islands[d],092
Brunei Darussalam[c],096
the Republic of Bulgaria,100
the Republic of the Union of Myanmar[d],104
the Republic of Burundi,108
the Republic of Belarus,112
the Kingdom of Cambodia,116
the Republic of Cameroon,120
Canada[c],124
the Republic of Cabo Verde,132
the Cayman Islands[c],136
the Central African Republic,140
the Democratic Socialist Republic of Sri Lanka,144
the Republic of Chad,148
the Republic of Chile,152
the People's Republic of China,156
the Republic of China[c][d],158
the Territory of Christmas Island[c],162
the Territory of Cocos (Keeling) Islands[c],166
the Republic of Colombia,170
the Union of the Comoros,174
the Department of Mayotte[c][d],175
the Republic of the Congo,178
the Democratic Republic of the Congo,180
the Cook Islands[c],184
the Republic of Costa Rica,188
the Republic of Croatia,191
the Republic of Cuba,192
the Republic of Cyprus,196
the Czech Republic,203
the Republic of Benin,204
the Kingdom of Denmark,208
the Commonwealth of Dominica,212
the Dominican Republic,214
the Republic of Ecuador,218
the Republic of El Salvador,222
the Republic of Equatorial Guinea,226
the Federal Democratic Republic of Ethiopia,231
the State of Eritrea,232
the Republic of Estonia,233
the Faroe Islands[c],234
the Falkland Islands[c][d],238
South Georgia and the South Sandwich Islands,239
the Republic of Fiji,242
the Republic of Finland,246
Åland[c][d],248
the French Republic,250
Guyane[c][d],254
Overseas Lands of French Polynesia[c][d],258
the French Southern and Antarctic Lands[c],260
the Republic of Djibouti,262
the Gabonese Republic,266
Georgia[c],268
the Republic of The Gambia,270
the State of Palestine[d],275
the Federal Republic of Germany,276
the Republic of Ghana,288
Gibraltar[c],292
the Republic of Kiribati,296
the Hellenic Republic,300
Greenland[c],304
Grenada[c],308
Guadeloupe[c][d],312
Guam[c],316
the Republic of Guatemala,320
the Republic of Guinea,324
the Co-operative Republic of Guyana,328
the Republic of Haiti,332
the Territory of Heard Island and McDonald Islands[c],334
the Holy See[c],336
the Republic of Honduras,340
the Hong Kong Special Administrative Region of China[10],344
Hungary[c],348
Iceland[c],352
the Republic of India,356
the Republic of Indonesia,360
the Islamic Republic of Iran,364
the Republic of Iraq,368
Ireland[c],372
the State of Israel,376
the Italian Republic,380
the Republic of Côte d'Ivoire,384
Jamaica[c],388
Japan[c],392
the Republic of Kazakhstan,398
the Hashemite Kingdom of Jordan,400
the Republic of Kenya,404
the Democratic People's Republic of Korea,408
the Republic of Korea,410
the State of Kuwait,414
the Kyrgyz Republic,417
the Lao People's Democratic Republic,418
the Lebanese Republic,422
the Kingdom of Lesotho,426
the Republic of Latvia,428
the Republic of Liberia,430
the State of Libya,434
the Principality of Liechtenstein,438
the Republic of Lithuania,440
the Grand Duchy of Luxembourg,442
the Macao Special Administrative Region of China[11],446
the Republic of Madagascar,450
the Republic of Malawi,454
Malaysia[c],458
the Republic of Maldives,462
the Republic of Mali,466
the Republic of Malta,470
Martinique[c][d],474
the Islamic Republic of Mauritania,478
the Republic of Mauritius,480
the United Mexican States,484
the Principality of Monaco,492
Mongolia[c],496
the Republic of Moldova,498
Montenegro[c],499
Montserrat[c],500
the Kingdom of Morocco,504
the Republic of Mozambique,508
the Sultanate of Oman,512
the Republic of Namibia,516
the Republic of Nauru,520
the Federal Democratic Republic of Nepal[c][d],524
the Kingdom of the Netherlands,528
the Country of Curaçao[c],531
the Country of Aruba[c],533
Sint Maarten[c],534
"Bonaire, Sint Eustatius and Saba[c][d]",535
New Caledonia[c],540
the Republic of Vanuatu,548
New Zealand[c],554
the Republic of Nicaragua,558
the Republic of the Niger,562
the Federal Republic of Nigeria,566
Niue[c],570
the Territory of Norfolk Island[c],574
the Kingdom of Norway,578
the Commonwealth of the Northern Mariana Islands,580
